
---------- Begin Simulation Statistics ----------
simSeconds                                   0.241164                       # Number of seconds simulated (Second)
simTicks                                 241164143000                       # Number of ticks simulated (Tick)
finalTick                                241164143000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    525.15                       # Real time elapsed on the host (Second)
hostTickRate                                459228665                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     643452                       # Number of bytes of host memory used (Byte)
simInsts                                    100000005                       # Number of instructions simulated (Count)
simOps                                      100000127                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   190422                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     190422                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        482328334                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.823283                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.207328                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       106732959                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      663                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      104962048                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9245                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6733475                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4956022                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  80                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           482027828                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.217751                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.808300                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::VectorStridedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorStridedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIndexedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIndexedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerArith            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatArith            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatConvert            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerReduce            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatReduce            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorMisc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerExtension            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      104962048                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         0.217615                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             3936721                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.037506                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                695897752                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               113472160                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       103494973                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                       138                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                      151                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses               49                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   108898338                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                           71                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                    143430                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                           30218                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          300506                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads        5468295                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      68861439                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads      1141590                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       224692                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                10009940                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           9767835                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect            104809                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              9610598                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                50076                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                 9586384                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.997480                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                   52291                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                 29                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups           27271                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits              19213                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             8058                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted         2689                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         6471443                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls             583                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             97846                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples    481112373                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.207852                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     0.819026                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0       438311711     91.10%     91.10% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1        15482636      3.22%     94.32% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2        15919680      3.31%     97.63% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         1048514      0.22%     97.85% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4         6404224      1.33%     99.18% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5         2365179      0.49%     99.67% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6          239427      0.05%     99.72% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           74780      0.02%     99.74% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         1266222      0.26%    100.00% # Number of insts commited each cycle (Count)
